#,Artista,Álbum,Año,Pista,Título Canción,BPM Base,Half-Time,Double-Time,Compás,Tonalidad (Key),Camelot,Duración
237,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,1,Intro,90,45,180,4/4,F# Menor,11A,2:15
238,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,2,Castigo,94,47,188,4/4,G# Menor,1A,3:17
239,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,3,Feliz Cumpleaños Ferxxo,95,47.5,190,4/4,F Mayor,7B,2:36
240,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,4,Nieve,126,63,252,4/4,C# Menor,12A,2:53
241,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,5,Prohibidox,92,46,184,4/4,A# Menor,3A,2:46
242,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,6,Lady Mi Amor,90,45,180,4/4,G# Menor,1A,2:48
243,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,7,Belixe,96,48,192,4/4,F# Menor,11A,2:38
244,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,8,Quemando Calorías,94,47,188,4/4,C# Menor,12A,2:34
245,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,9,Aguante,96,48,192,4/4,D# Menor,2A,2:23
246,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,10,Si Te La Encuentras Por Ahí,90,45,180,4/4,F# Menor,11A,3:12
247,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,11,Normal,92,46,184,4/4,C# Menor,12A,2:53
248,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,12,La Inocente (ft. Mora),92,46,184,4/4,G# Menor,1A,3:19
249,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,13,Mojando Asientos (ft. Maluma),92,46,184,4/4,A# Menor,3A,3:24
250,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,14,Ferxxo 100,88,44,176,4/4,F# Menor,11A,2:53
251,Feid,FELIZ CUMPLEAÑOS FERXXO,2022,15,XQ Te Pones Así (ft. Yandel),95,47.5,190,4/4,C# Menor,12A,3:27
252,Feid,"MOR, No Le Temas a la Oscuridad",2023,1,Vol 2,90,45,180,4/4,F# Menor,11A,2:13
253,Feid,"MOR, No Le Temas a la Oscuridad",2023,2,Vente Conmigo,96,48,192,4/4,C# Menor,12A,2:31
254,Feid,"MOR, No Le Temas a la Oscuridad",2023,3,Niña Bonita (ft. Sean Paul),98,49,196,4/4,G# Menor,1A,3:02
255,Feid,"MOR, No Le Temas a la Oscuridad",2023,4,Gangsters y Pistolas (ft. Ñengo Flow),95,47.5,190,4/4,A# Menor,3A,2:46
256,Feid,"MOR, No Le Temas a la Oscuridad",2023,5,Ferxxo 151 (ft. Icon),100,50,200,4/4,D# Menor,2A,3:10
257,Feid,"MOR, No Le Temas a la Oscuridad",2023,6,Bubalu (ft. Rema),100,50,200,4/4,F# Menor,11A,2:48
258,Feid,"MOR, No Le Temas a la Oscuridad",2023,7,Ritmo de Medallo (ft. Ryan Castro),96,48,192,4/4,G# Menor,1A,2:45
259,Feid,"MOR, No Le Temas a la Oscuridad",2023,8,Luces de Tecno,128,64,256,4/4,A Menor,8A,2:32
260,Feid,"MOR, No Le Temas a la Oscuridad",2023,9,Románticos de Lunes,90,45,180,4/4,C# Menor,12A,2:52
261,Feid,"MOR, No Le Temas a la Oscuridad",2023,10,Luna (ft. ATL Jacob),100,50,200,4/4,G Menor,6A,3:16
262,Arcángel,El Fenómeno,2008,1,Ah Ahí,95,47.5,190,4/4,F# Menor,11A,3:17
263,Arcángel,El Fenómeno,2008,2,Por Amar a Ciegas,120,60,240,4/4,G Menor,6A,3:55
264,Arcángel,El Fenómeno,2008,3,No Pueden Con El Chamaquito,95,47.5,190,4/4,C# Menor,12A,3:10
265,Arcángel,El Fenómeno,2008,4,Enamorado de Ti,92,46,184,4/4,G# Menor,1A,3:52
266,Arcángel,El Fenómeno,2008,5,Química Sustancia (ft. Don Omar),96,48,192,4/4,D# Menor,2A,4:38
267,Arcángel,El Fenómeno,2008,6,Pa' Que la Pases Bien,96,48,192,4/4,F# Menor,11A,3:44
268,Arcángel,El Fenómeno,2008,7,Vamos En Un Viaje,95,47.5,190,4/4,A# Menor,3A,3:46
269,Arcángel,"Sentimiento, Elegancia & Maldad",2013,1,Dios Te Bendiga,90,45,180,4/4,C# Menor,12A,4:24
270,Arcángel,"Sentimiento, Elegancia & Maldad",2013,2,Contigo Me Quedo,95,47.5,190,4/4,F# Menor,11A,3:24
271,Arcángel,"Sentimiento, Elegancia & Maldad",2013,3,Hace Mucho Tiempo,90,45,180,4/4,C# Menor,12A,2:52
272,Arcángel,"Sentimiento, Elegancia & Maldad",2013,4,Me Enamoré de Ti,92,46,184,4/4,G# Menor,1A,3:26
273,Arcángel,"Sentimiento, Elegancia & Maldad",2013,5,Súbelo (ft. De La Ghetto),96,48,192,4/4,D# Menor,2A,3:25
274,Arcángel,"Sentimiento, Elegancia & Maldad",2013,6,Por La Plata Baila El Mono,95,47.5,190,4/4,F Menor,4A,3:48
275,Arcángel,"Sentimiento, Elegancia & Maldad",2013,7,Pakas (ft. Daddy Yankee),95,47.5,190,4/4,A# Menor,3A,4:20
276,Arcángel,"Sentimiento, Elegancia & Maldad",2013,8,Tremenda Sata,130,65,260,4/4,C# Menor,12A,3:30
277,Arcángel,Sr. Santos,2022,1,JS4E,140,70,280,4/4,F# Menor,11A,3:25
278,Arcángel,Sr. Santos,2022,2,Portobello (ft. Bizarrap),135,67.5,270,4/4,A Menor,8A,3:02
279,Arcángel,Sr. Santos,2022,3,La Jumpa (ft. Bad Bunny),124,62,248,4/4,E Menor,9A,4:15
280,Arcángel,Sr. Santos,2022,4,Subimos de Rango (ft. Eladio Carrión),140,70,280,4/4,C# Menor,12A,3:41
281,Arcángel,Sr. Santos,2022,5,Killimanjaro (ft. Jowell & Randy),95,47.5,190,4/4,A# Menor,3A,3:28
282,Arcángel,Sr. Santos,2022,6,"Bottas (ft. Duki, Bizarrap)",140,70,280,4/4,G# Menor,1A,3:12
283,Ozuna,Odisea,2017,1,Odisea,85,42.5,170,4/4,A# Menor,3A,3:09
284,Ozuna,Odisea,2017,2,Tu Foto,92,46,184,4/4,F# Menor,11A,3:13
285,Ozuna,Odisea,2017,3,Se Preparó,96,48,192,4/4,G# Menor,1A,3:08
286,Ozuna,Odisea,2017,4,Cumpleaños (ft. Nicky Jam),95,47.5,190,4/4,C# Menor,12A,3:39
287,Ozuna,Odisea,2017,5,Dile Que Tu Me Quieres,90,45,180,4/4,C# Menor,12A,3:46
288,Ozuna,Odisea,2017,6,Egoísta (ft. Zion & Lennox),94,47,188,4/4,F# Menor,11A,4:07
289,Ozuna,Odisea,2017,7,Una Flor,80,40,160,4/4,D# Menor,2A,3:26
290,Ozuna,Odisea,2017,8,Quiero Repetir (ft. J Balvin),94,47,188,4/4,A# Menor,3A,3:20
291,Ozuna,Odisea,2017,9,Noches de Aventura,96,48,192,4/4,C# Menor,12A,3:56
292,Ozuna,Odisea,2017,10,El Farsante,120,60,240,4/4,F# Mayor,2B,3:53
293,Ozuna,Odisea,2017,11,Síguelo Bailando,98,49,196,4/4,G# Menor,1A,3:46
294,Ozuna,Odisea,2017,12,Bebé (ft. Anuel AA),140,70,280,4/4,D# Menor,2A,3:50
295,Ozuna,Aura,2018,1,Aura (ft. Arthur Hanlon),80,40,160,4/4,F# Menor,11A,3:38
296,Ozuna,Aura,2018,2,Me Dijeron,90,45,180,4/4,G# Menor,1A,2:57
297,Ozuna,Aura,2018,3,Vaina Loca (ft. Manuel Turizo),94,47,188,4/4,G# Menor,1A,2:56
298,Ozuna,Aura,2018,4,Devuélveme,95,47.5,190,4/4,C# Menor,12A,3:06
299,Ozuna,Aura,2018,5,Quiero Más (ft. Wisin & Yandel),95,47.5,190,4/4,F# Menor,11A,4:03
300,Ozuna,Aura,2018,6,Tu Olor,92,46,184,4/4,A# Menor,3A,3:10
301,Ozuna,Aura,2018,7,Ibiza (ft. Romeo Santos),125,62.5,250,4/4,D# Menor,2A,3:19
302,Ozuna,Aura,2018,8,Única,94,47,188,4/4,F# Menor,11A,3:38
303,Ozuna,Aura,2018,9,Coméntale (ft. Akon),94,47,188,4/4,C# Menor,12A,3:34
304,Maluma,"Pretty Boy, Dirty Boy",2015,1,Borro Cassette,176,88,352,4/4,F Menor,4A,3:27
305,Maluma,"Pretty Boy, Dirty Boy",2015,2,El Perdedor,174,87,348,4/4,C Menor,5A,3:27
306,Maluma,"Pretty Boy, Dirty Boy",2015,3,Sin Contrato,96,48,192,4/4,B Menor,10A,3:41
307,Maluma,"Pretty Boy, Dirty Boy",2015,4,La Misma Moneda,95,47.5,190,4/4,F# Menor,11A,3:41
308,Maluma,"Pretty Boy, Dirty Boy",2015,5,Tengo Un Amor (ft. Leslie Grace),120,60,240,4/4,C# Menor,12A,3:47
309,Maluma,"Pretty Boy, Dirty Boy",2015,6,El Tiki,128,64,256,4/4,A# Menor,3A,3:10
310,Maluma,"Pretty Boy, Dirty Boy",2015,7,Carnavales,96,48,192,4/4,G# Menor,1A,3:34
311,Maluma,Papi Juancho,2020,1,Medallo City,96,48,192,4/4,C# Menor,12A,3:53
312,Maluma,Papi Juancho,2020,2,Bella-K (ft. Zion),95,47.5,190,4/4,F# Menor,11A,3:43
313,Maluma,Papi Juancho,2020,3,Hawái,180,90,360,4/4,F# Menor,11A,3:19
314,Maluma,Papi Juancho,2020,4,Cielo a un Diablo,90,45,180,4/4,A# Menor,3A,3:25
315,Maluma,Papi Juancho,2020,5,"Parce (ft. Lenny Tavárez, Justin Quiles)",92,46,184,4/4,C# Menor,12A,4:08
316,Maluma,Papi Juancho,2020,6,Perdón (ft. Yandel),94,47,188,4/4,G# Menor,1A,3:00
317,Maluma,Papi Juancho,2020,7,La Burbuja,95,47.5,190,4/4,D# Menor,2A,3:29
318,Maluma,Papi Juancho,2020,8,Madrid (ft. Myke Towers),90,45,180,4/4,F# Menor,11A,3:18
319,Maluma,Papi Juancho,2020,9,ADMV,75,37.5,150,4/4,G Mayor,9B,3:13
320,Nicky Jam,Fénix,2017,1,El Ganador,90,45,180,4/4,F# Menor,11A,3:19
321,Nicky Jam,Fénix,2017,2,El Amante,90,45,180,4/4,A♭ Mayor,4B,3:39
322,Nicky Jam,Fénix,2017,3,El Perdón (ft. Enrique Iglesias),90,45,180,4/4,G# Menor,1A,3:27
323,Nicky Jam,Fénix,2017,4,Hasta el Amanecer,94,47,188,4/4,G# Menor,1A,3:18
324,Nicky Jam,Fénix,2017,5,Por el Momento (ft. Plan B),95,47.5,190,4/4,C# Menor,12A,3:38
325,Nicky Jam,Fénix,2017,6,"Amor Prohibido (ft. Sean Paul, Konshens)",96,48,192,4/4,F# Menor,11A,4:20
326,Nicky Jam,Fénix,2017,7,Tu Hombre (ft. J Balvin),94,47,188,4/4,A# Menor,3A,3:24
327,Nicky Jam,Fénix,2017,8,Estrella,90,45,180,4/4,D# Menor,2A,3:39
328,Nicky Jam,Fénix,2017,9,Si Tú la Ves (ft. Wisin),90,45,180,4/4,G# Menor,1A,3:41
329,Nicky Jam,Fénix,2017,10,Mil Lágrimas,85,42.5,170,4/4,C# Menor,12A,3:28
330,Nicky Jam,Fénix,2017,11,Travesuras,94,47,188,4/4,A# Menor,3A,3:15
331,Nicky Jam,Íntimo,2019,1,Sin Filtro,90,45,180,4/4,F# Menor,11A,3:16
332,Nicky Jam,Íntimo,2019,2,Te Robaré (ft. Ozuna),90,45,180,4/4,G# Menor,1A,3:20
333,Nicky Jam,Íntimo,2019,3,X (ft. J Balvin),180,90,360,4/4,A Menor,8A,2:53
334,Nicky Jam,Íntimo,2019,4,La Promesa,92,46,184,4/4,C# Menor,12A,2:54
335,Nicky Jam,Íntimo,2019,5,Atrevida (ft. Sech),92,46,184,4/4,D# Menor,2A,3:18
336,Nicky Jam,Íntimo,2019,6,Muévelo (ft. Daddy Yankee),94,47,188,4/4,C# Menor,12A,3:15
337,Anuel AA,Real Hasta la Muerte,2018,1,Na' Nuevo,140,70,280,4/4,F# Menor,11A,4:44
338,Anuel AA,Real Hasta la Muerte,2018,2,Quiere Beber,95,47.5,190,4/4,G# Menor,1A,3:08
339,Anuel AA,Real Hasta la Muerte,2018,3,Hipócrita (ft. Zion),94,47,188,4/4,C# Menor,12A,3:13
340,Anuel AA,Real Hasta la Muerte,2018,4,Culpables (ft. Karol G),90,45,180,4/4,A# Menor,3A,3:46
341,Anuel AA,Real Hasta la Muerte,2018,5,Brindemos (ft. Ozuna),140,70,280,4/4,D# Menor,2A,3:37
342,Anuel AA,Real Hasta la Muerte,2018,6,Bandolera,90,45,180,4/4,F# Menor,11A,3:10
343,Anuel AA,Real Hasta la Muerte,2018,7,Pensando en Ti,85,42.5,170,4/4,C# Menor,12A,3:00
344,Anuel AA,Real Hasta la Muerte,2018,8,Yeezy (ft. Ñengo Flow),140,70,280,4/4,G# Menor,1A,4:22
345,Anuel AA,Real Hasta la Muerte,2018,9,Modus Operandi,140,70,280,4/4,A# Menor,3A,3:35
346,Anuel AA,Real Hasta la Muerte,2018,10,Espina,90,45,180,4/4,F Menor,4A,3:20
347,Anuel AA,Real Hasta la Muerte,2018,11,Tú No Amas,90,45,180,4/4,F# Menor,11A,3:33
348,Anuel AA,Real Hasta la Muerte,2018,12,Naturaleza,90,45,180,4/4,C# Menor,12A,3:36
349,Anuel AA,Emmanuel,2020,1,No Llores Mujer,80,40,160,4/4,G Mayor,9B,3:36
350,Anuel AA,Emmanuel,2020,2,Hasta Que Dios Diga (ft. Bad Bunny),90,45,180,4/4,C# Menor,12A,4:06
351,Anuel AA,Emmanuel,2020,3,Narcos,140,70,280,4/4,F# Menor,11A,4:20
352,Anuel AA,Emmanuel,2020,4,Fútbol y Rumba (ft. Enrique Iglesias),128,64,256,4/4,D# Menor,2A,3:41
353,Anuel AA,Emmanuel,2020,5,Así Soy Yo (ft. Bad Bunny),90,45,180,4/4,G# Menor,1A,3:46
354,Anuel AA,Emmanuel,2020,6,Secreto (ft. Karol G),92,46,184,4/4,B Mayor,1B,4:18
355,Anuel AA,Emmanuel,2020,7,"China (ft. Daddy Yankee, Karol G, Ozuna, J Balvin)",105,52.5,210,4/4,G Mayor,9B,5:01
356,Anuel AA,Emmanuel,2020,8,El Manual,90,45,180,4/4,A# Menor,3A,3:30
357,Tego Calderón,El Abayarde,2002,1,Intro,95,47.5,190,4/4,F# Menor,11A,0:46
358,Tego Calderón,El Abayarde,2002,2,Cambumbo,95,47.5,190,4/4,G# Menor,1A,2:59
359,Tego Calderón,El Abayarde,2002,3,En Peligro de Extinción,95,47.5,190,4/4,C# Menor,12A,3:39
360,Tego Calderón,El Abayarde,2002,4,Pa' Que Retozen,96,48,192,4/4,D# Menor,2A,2:32
361,Tego Calderón,El Abayarde,2002,5,Al Natural,95,47.5,190,4/4,A# Menor,3A,3:33
362,Tego Calderón,El Abayarde,2002,6,El Abayarde,95,47.5,190,4/4,F Menor,4A,3:20
363,Tego Calderón,El Abayarde,2002,7,Dominó,95,47.5,190,4/4,F# Menor,11A,2:42
364,Tego Calderón,El Abayarde,2002,8,Masucamba,96,48,192,4/4,C# Menor,12A,4:34
365,Tego Calderón,El Abayarde,2002,9,Los Difuntos,95,47.5,190,4/4,G# Menor,1A,3:04
366,Tego Calderón,El Abayarde,2002,10,Planté Bandera,100,50,200,4/4,C Menor,5A,4:14
367,Tego Calderón,El Abayarde,2002,11,Métele Sazón,96,48,192,4/4,A# Menor,3A,4:03
368,Tego Calderón,El Abayarde,2002,12,Punto y Aparte,95,47.5,190,4/4,C# Menor,12A,3:24
369,Tego Calderón,The Underdog,2006,1,¿Los Mate?,95,47.5,190,4/4,F# Menor,11A,2:54
370,Tego Calderón,The Underdog,2006,2,Chango Blanco,95,47.5,190,4/4,A# Menor,3A,5:14
371,Tego Calderón,The Underdog,2006,3,Ku-Dang,96,48,192,4/4,C# Menor,12A,3:25
372,Tego Calderón,The Underdog,2006,4,A Mi Papá,90,45,180,4/4,G# Menor,1A,3:26
373,Tego Calderón,The Underdog,2006,5,"Payaso (ft. Eddie Dee, Voltio)",95,47.5,190,4/4,D# Menor,2A,4:37
374,Tego Calderón,The Underdog,2006,6,Llora,92,46,184,4/4,F Menor,4A,4:07
375,Tego Calderón,The Underdog,2006,7,Chillin' (ft. Don Omar),95,47.5,190,4/4,C# Menor,12A,3:17
376,Tego Calderón,The Underdog,2006,8,Veo Veo,95,47.5,190,4/4,G# Menor,1A,3:58
377,Tego Calderón,The Underdog,2006,9,Pon la Cara,95,47.5,190,4/4,F# Menor,11A,3:00
378,Plan B,House of Pleasure,2010,1,Intro,95,47.5,190,4/4,C# Menor,12A,1:30
379,Plan B,House of Pleasure,2010,2,Tarde En La Noche,95,47.5,190,4/4,F# Menor,11A,2:44
380,Plan B,House of Pleasure,2010,3,¿Por Qué Te Demoras?,95,47.5,190,4/4,G# Menor,1A,3:10
381,Plan B,House of Pleasure,2010,4,Es Un Secreto,95,47.5,190,4/4,F# Menor,11A,3:12
382,Plan B,House of Pleasure,2010,5,Si No Le Contesto,95,47.5,190,4/4,A# Menor,3A,3:40
383,Plan B,House of Pleasure,2010,6,Nos Fuimos Discoteca,96,48,192,4/4,C# Menor,12A,3:08
384,Plan B,House of Pleasure,2010,7,Partyshow,95,47.5,190,4/4,D# Menor,2A,3:16
385,Plan B,House of Pleasure,2010,8,El Amor No Muere,90,45,180,4/4,F Menor,4A,3:38
386,Plan B,House of Pleasure,2010,9,Mis Días Sin Ti,90,45,180,4/4,G# Menor,1A,3:46
387,Plan B,House of Pleasure,2010,10,Lloras,90,45,180,4/4,C# Menor,12A,3:45
388,Plan B,Love and Sex,2014,1,Fronteo,88,44,176,4/4,D Mayor,10B,3:23
389,Plan B,Love and Sex,2014,2,Choca,88,44,176,4/4,E Menor,9A,3:38
390,Plan B,Love and Sex,2014,3,Pa'l Piso (ft. Yandel),95,47.5,190,4/4,F# Menor,11A,4:06
391,Plan B,Love and Sex,2014,4,Fanática Sensual,82,41,164,4/4,C# Mayor,3B,4:00
392,Plan B,Love and Sex,2014,5,El Matador,95,47.5,190,4/4,A# Menor,3A,3:17
393,Plan B,Love and Sex,2014,6,Candy,96,48,192,4/4,F# Menor,11A,3:27
394,Plan B,Love and Sex,2014,7,Sátiro,95,47.5,190,4/4,G# Menor,1A,3:29
395,Plan B,Love and Sex,2014,8,No Quiero Que Te Vayas (ft. Alexis & Fido),95,47.5,190,4/4,C# Menor,12A,3:47
396,Plan B,Love and Sex,2014,9,Mi Vecinita,96,48,192,4/4,D# Menor,2A,3:03
397,Plan B,Love and Sex,2014,10,Donde Los Encuentro,95,47.5,190,4/4,F# Menor,11A,3:30
398,Zion & Lennox,Motivando a la Yal,2004,1,Doncella,95,47.5,190,4/4,G# Menor,1A,3:31
399,Zion & Lennox,Motivando a la Yal,2004,2,Hay Algo en Ti,95,47.5,190,4/4,C# Menor,12A,3:38
400,Zion & Lennox,Motivando a la Yal,2004,3,Bandida,95,47.5,190,4/4,A# Menor,3A,3:20
401,Zion & Lennox,Motivando a la Yal,2004,4,Yo Voy (ft. Daddy Yankee),95,47.5,190,4/4,F# Menor,11A,3:52
402,Zion & Lennox,Motivando a la Yal,2004,5,Guasa Guasa,95,47.5,190,4/4,D# Menor,2A,3:28
403,Zion & Lennox,Motivando a la Yal,2004,6,Hace Tiempo,95,47.5,190,4/4,C# Menor,12A,3:47
404,Zion & Lennox,Motivando a la Yal,2004,7,Baila Conmigo,95,47.5,190,4/4,F Menor,4A,3:31
405,Zion & Lennox,Motivan2,2016,1,Embriágame,94,47,188,4/4,G# Menor,1A,3:46
406,Zion & Lennox,Motivan2,2016,2,Otra Vez (ft. J Balvin),96,48,192,4/4,C# Menor,12A,3:29
407,Zion & Lennox,Motivan2,2016,3,Mi Tesoro (ft. Nicky Jam),94,47,188,4/4,A# Menor,3A,4:03
408,Zion & Lennox,Motivan2,2016,4,Pierdo la Cabeza,96,48,192,4/4,F# Menor,11A,3:38
409,Zion & Lennox,Motivan2,2016,5,Bailando Tú y Yo,95,47.5,190,4/4,D# Menor,2A,4:17
410,Zion & Lennox,Motivan2,2016,6,Hola,95,47.5,190,4/4,C# Menor,12A,3:32
411,Chencho Corleone,SOLO,2024,1,Un Cigarrillo,95,47.5,190,4/4,F# Menor,11A,3:02
412,Chencho Corleone,SOLO,2024,2,Hora Loca,96,48,192,4/4,G# Menor,1A,3:15
413,Chencho Corleone,SOLO,2024,3,Distancia,92,46,184,4/4,C# Menor,12A,3:10
414,Chencho Corleone,SOLO,2024,4,Lo Caro y Lo Bueno,95,47.5,190,4/4,A# Menor,3A,3:22
415,Chencho Corleone,SOLO,2024,5,Buenas (ft. Peso Pluma),98,49,196,4/4,D# Menor,2A,3:12
416,Chencho Corleone,SOLO,2024,6,Cinético,95,47.5,190,4/4,C# Menor,12A,2:58
417,Chencho Corleone,SOLO,2024,7,Humo (ft. Peso Pluma),94,47,188,4/4,F# Menor,11A,3:24
418,Chencho Corleone,SOLO,2024,8,Ella Quiere,95,47.5,190,4/4,G# Menor,1A,3:05
419,Chencho Corleone,SOLO,2024,9,Mente Dañá,95,47.5,190,4/4,C# Menor,12A,3:18
420,Chencho Corleone,SOLO,2024,10,Peligrosa,96,48,192,4/4,A# Menor,3A,3:08
421,Jhayco,Famouz,2019,1,Subiendo de Nivel,92,46,184,4/4,F# Menor,11A,3:16
422,Jhayco,Famouz,2019,2,"No Me Conoce (Remix ft. J Balvin, Bad Bunny)",92,46,184,4/4,A# Menor,3A,5:09
423,Jhayco,Famouz,2019,3,Easy,85,42.5,170,4/4,C# Menor,12A,3:58
424,Jhayco,Famouz,2019,4,Costear (ft. Almighty),140,70,280,4/4,G# Menor,1A,4:07
425,Jhayco,Famouz,2019,5,Imaginaste,92,46,184,4/4,F# Menor,11A,3:44
426,Jhayco,Famouz,2019,6,Apaga las Luces,90,45,180,4/4,C# Menor,12A,3:56
427,Jhayco,Timelezz,2021,1,Dile (Homenaje),95,47.5,190,4/4,D# Menor,2A,3:42
428,Jhayco,Timelezz,2021,2,Christian Dior,95,47.5,190,4/4,G# Menor,1A,3:15
429,Jhayco,Timelezz,2021,3,En Mi Cuarto (ft. Skrillex),128,64,256,4/4,F# Menor,11A,3:17
430,Jhayco,Timelezz,2021,4,Ley Seca (ft. Anuel AA),118,59,236,4/4,A# Menor,3A,4:23
431,Jhayco,Timelezz,2021,5,"Fiel (ft. Wisin, Los Legendarios)",98,49,196,4/4,C# Menor,12A,4:21
432,Jhayco,Timelezz,2021,6,911 (Remix ft. Sech),92,46,184,4/4,D# Menor,2A,3:29
433,Jhayco,Timelezz,2021,7,Nos Enterramos,92,46,184,4/4,G# Menor,1A,3:12
434,Jhayco,Timelezz,2021,8,Tokyo,124,62,248,4/4,C# Menor,12A,3:18
435,Jhayco,Timelezz,2021,9,Los Bo,140,70,280,4/4,F# Menor,11A,3:45
436,Myke Towers,Easy Money Baby,2020,1,MIB,140,70,280,4/4,F# Menor,11A,2:44
437,Myke Towers,Easy Money Baby,2020,2,Tú,92,46,184,4/4,C# Menor,12A,3:02
438,Myke Towers,Easy Money Baby,2020,3,Parce,90,45,180,4/4,G# Menor,1A,2:46
439,Myke Towers,Easy Money Baby,2020,4,Girl,96,48,192,4/4,A# Menor,3A,3:06
440,Myke Towers,Easy Money Baby,2020,5,Diosa,105,52.5,210,4/4,D# Menor,2A,3:34
441,Myke Towers,Easy Money Baby,2020,6,Si Se Da (ft. Farruko),94,47,188,4/4,F# Menor,11A,3:57
442,Myke Towers,Easy Money Baby,2020,7,Relación Rota,95,47.5,190,4/4,C# Menor,12A,2:40
443,Myke Towers,Easy Money Baby,2020,8,Ronca,140,70,280,4/4,G# Menor,1A,3:19
444,Myke Towers,La Vida Es Una,2023,1,Lala,92,46,184,4/4,C# Menor,12A,3:17
445,Myke Towers,La Vida Es Una,2023,2,Ulala (ft. Daddy Yankee),96,48,192,4/4,F# Menor,11A,3:15
446,Myke Towers,La Vida Es Una,2023,3,Playa del Inglés (ft. Quevedo),118,59,236,4/4,A# Menor,3A,3:58
447,Myke Towers,La Vida Es Una,2023,4,Mi Droga,90,45,180,4/4,G# Menor,1A,3:08
448,Myke Towers,La Pantera Negra,2024,1,La Falda,104,52,208,4/4,C# Menor,12A,2:54
449,Myke Towers,La Pantera Negra,2024,2,La Capi,150,75,300,4/4,C Menor,5A,2:42
450,Myke Towers,La Pantera Negra,2024,3,ADIVINO (ft. Bad Bunny),118,59,236,4/4,A# Menor,3A,4:16
451,Myke Towers,La Pantera Negra,2024,4,Degenere (ft. benny blanco),194,97,388,4/4,F# Menor,11A,3:10
452,Eladio Carrión,Sauce Boyz,2020,1,Vida Buena,140,70,280,4/4,F# Menor,11A,2:48
453,Eladio Carrión,Sauce Boyz,2020,2,Kemba Walker (ft. Bad Bunny),147,73.5,294,4/4,G# Menor,1A,2:53
454,Eladio Carrión,Sauce Boyz,2020,3,Mi Error,90,45,180,4/4,C# Menor,12A,3:35
455,Eladio Carrión,Sauce Boyz,2020,4,Lluvia,140,70,280,4/4,D# Menor,2A,3:02
456,Eladio Carrión,Sauce Boyz,2020,5,Hielo,140,70,280,4/4,A# Menor,3A,3:20
457,Eladio Carrión,3MEN2 KBRN,2023,1,Padre Tiempo,140,70,280,4/4,C# Menor,12A,3:22
458,Eladio Carrión,3MEN2 KBRN,2023,2,Gladiador,140,70,280,4/4,G# Menor,1A,3:04
459,Eladio Carrión,3MEN2 KBRN,2023,3,El Hokage,140,70,280,4/4,F# Menor,11A,3:10
460,Eladio Carrión,3MEN2 KBRN,2023,4,Coco Chanel (ft. Bad Bunny),140,70,280,4/4,D# Menor,2A,3:28
461,Eladio Carrión,3MEN2 KBRN,2023,5,Si Salimos,140,70,280,4/4,C# Menor,12A,3:08
462,Eladio Carrión,3MEN2 KBRN,2023,6,Mbappé,140,70,280,4/4,A# Menor,3A,3:12
463,Eladio Carrión,Sol María,2024,1,Bendecido,140,70,280,4/4,F# Menor,11A,3:05
464,Eladio Carrión,Sol María,2024,2,TQMQA,92,46,184,4/4,G# Menor,1A,3:14
465,Eladio Carrión,Sol María,2024,3,Hey Lil Mama,130,65,260,4/4,C# Menor,12A,3:22
466,Eladio Carrión,Sol María,2024,4,RKO,140,70,280,4/4,D# Menor,2A,3:18
467,Eladio Carrión,Sol María,2024,5,La Canción Feliz del Disco,125,62.5,250,4/4,A# Menor,3A,3:10
468,Young Miko,Trap Kitty,2022,1,Bi,135,67.5,270,4/4,F# Menor,11A,2:10
469,Young Miko,Trap Kitty,2022,2,Puerto Rican Mami,140,70,280,4/4,G# Menor,1A,2:25
470,Young Miko,Trap Kitty,2022,3,Standard,140,70,280,4/4,C# Menor,12A,2:18
471,Young Miko,Trap Kitty,2022,4,Riri,140,70,280,4/4,A# Menor,3A,2:40
472,Young Miko,Trap Kitty,2022,5,105 Freestyle,140,70,280,4/4,D# Menor,2A,2:50
473,Young Miko,att.,2024,1,Rookie of the Year,140,70,280,4/4,C# Menor,12A,2:45
474,Young Miko,att.,2024,2,Arcoíris,130,65,260,4/4,F# Menor,11A,2:36
475,Young Miko,att.,2024,3,Tamagotchi,128,64,256,4/4,G# Menor,1A,2:42
476,Young Miko,att.,2024,4,ID (ft. Jowell & Randy),96,48,192,4/4,A# Menor,3A,3:10
477,Young Miko,att.,2024,5,offline (ft. Feid),95,47.5,190,4/4,D# Menor,2A,3:18
478,Young Miko,att.,2024,6,Princess Peach,140,70,280,4/4,C# Menor,12A,2:52
479,Young Miko,att.,2024,7,Wiggy,145,72.5,290,4/4,G# Menor,1A,2:56
480,Young Miko,att.,2024,8,Curvy,135,67.5,270,4/4,F# Menor,11A,2:40
